id,time,latitude,longitude,depth,place,place_exact,exact_place_ar,exact_place_fr
307,1997-07-05T16:45:36.190Z,35.933,5.045,33.0,northern Algeria,Bordj Bou Arreridj ⴱⵓⵔⴵ ⴱⵓ ⵄⵔⵉⵔⵉⴵ برج بوعريريج, برج بوعريريج,Bordj Bou Arreridj 
308,1997-07-14T15:49:51.460Z,35.944,1.167,10.0,northern Algeria,Relizane ⵉⵖⵉⵍ ⵉⵣⴰⵏ غليزان, غليزان,Relizane 
309,1997-07-20T14:26:37.300Z,35.875,3.803,10.0,northern Algeria,Bouira ⵜⵓⴱⵉⵔⴻⵜ البويرة, البويرة,Bouira 
310,1997-07-27T20:25:38.820Z,36.986,0.982,33.0,northern Algeria,algeria,,algeria
311,1997-08-06T11:33:30.520Z,36.885,1.618,10.0,northern Algeria,algeria,,algeria
312,1997-08-16T07:20:32.570Z,36.813,1.375,10.0,northern Algeria,algeria,,algeria
313,1997-08-20T23:59:23.130Z,36.671,1.606,10.0,northern Algeria,algeria,,algeria
314,1997-11-11T19:45:28.940Z,36.875,5.482,10.0,northern Algeria,algeria,,algeria
315,1997-11-15T13:34:48.480Z,36.589,1.598,10.0,northern Algeria,algeria,,algeria
316,1997-11-29T23:40:09.110Z,36.224,6.0120000000000005,33.0,northern Algeria,Mila ⵎⵉⵍⴰ ميلة, ميلة,Mila 
317,1997-12-01T22:47:26.750Z,35.882,-0.252,10.0,northern Algeria,algeria,,algeria
318,1997-12-05T16:55:09.480Z,35.609,1.396,10.0,northern Algeria,Tiaret ⵜⵢⴰⵔⴻⵜ تيارت, تيارت,Tiaret 
319,1998-01-08T00:12:24.350Z,36.201,1.645,10.0,northern Algeria,Aïn Defla ⵄⵉⵏ ⴷⴻⴼⵍⴰ عين الدفلى, عين الدفلى,Aïn Defla 
320,1998-02-27T04:04:38.900Z,35.65,-1.31,0.0,northern Algeria,algeria,,algeria
321,1998-03-15T19:28:37.500Z,35.88,-1.65,1.3,northern Algeria,algeria,,algeria
322,1998-03-29T22:48:49.150Z,36.39,3.157,10.0,northern Algeria,Médéa ⵎⴷⵉⵢⵢⴰ المدية, المدية,Médéa 
323,1998-04-02T15:25:32.840Z,35.835,3.502,10.0,northern Algeria,Médéa ⵎⴷⵉⵢⵢⴰ المدية, المدية,Médéa 
324,1998-04-07T07:45:19.330Z,35.524,-0.097,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
325,1998-05-30T13:06:42.200Z,35.89,-1.62,0.0,northern Algeria,algeria,,algeria
326,1998-06-18T14:11:09.160Z,36.889,2.462,10.0,northern Algeria,algeria,,algeria
327,1998-06-19T00:53:57.390Z,36.215,0.8140000000000001,10.0,northern Algeria,Chlef ⵛⵛⵍⴻⴼ الشلف, الشلف,Chlef 
328,1998-07-02T04:23:18.450Z,35.684,-1.596,10.0,northern Algeria,algeria,,algeria
329,1998-07-30T16:07:37.080Z,36.626,7.296,10.0,northern Algeria,Guelma ⴳⴰⵍⵎⴰ قالمة, قالمة,Guelma 
330,1998-08-25T21:28:43.470Z,35.74,-0.841,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
331,1998-10-10T07:19:50.190Z,35.672,3.526,10.0,northern Algeria,Médéa ⵎⴷⵉⵢⵢⴰ المدية, المدية,Médéa 
332,1998-10-10T12:57:02.900Z,35.88,-1.98,0.0,northern Algeria,algeria,,algeria
333,1998-10-27T20:16:48.190Z,35.702,5.996,10.0,northern Algeria,Batna ⵜⴱⴰⵜⴻⵏⵜ باتنة, باتنة,Batna 
334,1998-10-28T10:59:57.900Z,35.76,-0.31,15.2,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
335,1998-12-10T17:01:09.740Z,35.461,-0.097,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
336,1998-12-14T00:39:13.930Z,35.078,6.1560000000000015,10.0,northern Algeria,Batna ⵜⴱⴰⵜⴻⵏⵜ باتنة, باتنة,Batna 
337,1998-12-22T05:59:52.590Z,36.326,0.252,10.0,northern Algeria,algeria,,algeria
338,1999-01-29T07:46:02.030Z,36.832,4.459,10.0,northern Algeria,Tizi Ouzou ⵝⵉⵣⵉ ⵡⴻⵣⵣⵓ تيزي وزو, تيزي وزو,Tizi Ouzou 
339,1999-01-29T12:26:40.830Z,35.708,4.427,10.0,northern Algeria,M'Sila ⵎⵙⵉⵍⴰ المسيلة, المسيلة,M'Sila 
340,1999-02-23T02:35:00.650Z,35.837,-1.676,10.0,northern Algeria,algeria,,algeria
341,1999-02-24T01:16:05.210Z,35.422,0.004,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
342,1999-02-24T12:02:36.170Z,35.996,-0.021,10.0,northern Algeria,algeria,,algeria
343,1999-03-17T06:04:34.320Z,35.827,6.0779999999999985,10.0,northern Algeria,Batna ⵜⴱⴰⵜⴻⵏⵜ باتنة, باتنة,Batna 
344,1999-03-30T05:05:37.410Z,35.55300000000001,1.4269999999999998,10.0,northern Algeria,Tiaret ⵜⵢⴰⵔⴻⵜ تيارت, تيارت,Tiaret 
345,1999-04-03T05:04:28.970Z,36.31800000000001,1.061,10.0,northern Algeria,Chlef ⵛⵛⵍⴻⴼ الشلف, الشلف,Chlef 
346,1999-07-10T10:24:49.220Z,35.916,-0.71,10.0,northern Algeria,algeria,,algeria
347,1999-07-14T03:54:37.040Z,35.659,-0.6759999999999999,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
348,1999-07-18T20:14:53.850Z,36.636,5.312,10.0,northern Algeria,Béjaïa ⴲⴳⴰⵢⴻⵝ بجاية, بجاية,Béjaïa 
349,1999-07-18T23:15:06.220Z,36.614,5.4570000000000025,10.0,northern Algeria,Jijel ⵉⵖⵉⵍ ⴳⵉⵍⵉ جيجل, جيجل,Jijel 
350,1999-08-11T15:10:34.010Z,36.176,1.2009999999999998,10.0,northern Algeria,Chlef ⵛⵛⵍⴻⴼ الشلف, الشلف,Chlef 
351,1999-08-13T19:49:32.400Z,35.7,0.851,10.0,northern Algeria,Relizane ⵉⵖⵉⵍ ⵉⵣⴰⵏ غليزان, غليزان,Relizane 
352,1999-08-18T00:21:54.590Z,36.129,1.7919999999999998,10.0,northern Algeria,Aïn Defla ⵄⵉⵏ ⴷⴻⴼⵍⴰ عين الدفلى, عين الدفلى,Aïn Defla 
353,1999-09-03T06:43:52.070Z,35.55300000000001,1.122,10.0,northern Algeria,Tiaret ⵜⵢⴰⵔⴻⵜ تيارت, تيارت,Tiaret 
354,1999-09-10T17:18:26.270Z,34.949,5.391,10.0,northern Algeria,Biskra ⴱⴻⵙⴽⵔⴰ بسكرة, بسكرة,Biskra 
355,1999-10-01T08:01:30.400Z,35.84,-1.9,0.0,northern Algeria,algeria,,algeria
356,1999-10-04T22:49:04.440Z,35.796,-1.469,10.0,northern Algeria,algeria,,algeria
357,1999-10-15T04:16:58.500Z,35.89,-1.61,11.8,northern Algeria,algeria,,algeria
